state,x,y
Andhra Pradesh,131.0,-258.0
Arunachal Pradesh,306.0,143.0
Assam,299.0, 87.0
Bihar,78.0,75.0
Chhattisgarh,-20.0,-58.0
Goa,-253.0,-244.0
Gujrat,-297.0,-5.0
Haryana,-189.0,200.0
Himachal Pradesh,-153.0,266.0
Jammu&Kashmir,-213.0,321.0
Jharkhand,66.0,14.0
Karnataka,-211.0,-239.0
Kerala,-186.0,-387.0
Madhya Pradesh,-136.0,-13.0
Maharashtra,-196.0,-112.0
Manipur,309.0,45.0
Meghalaya,252.0,75.0
Mizoram,279.0,3.0
Nagaland,342.0,89.0
Odisha,49.0,-92.0
Punjab,-206.0,231.0
Rajasthan,-234.0,94.0
Sikkim,161.0,136.0
Tamil Nadu,-119.0,-346.0
Telangana,-115.0,-174.0
Tripura,251.0,14.0
Uttar Pradesh,-50.0,113.0
Uttarakhand,-94.0,224.0
West Bengal,154.0,-7.0


